1.00000000000000e+000,1.17182803794197e+002,-8.98487366279378e+001
1.02329299228075e+000,1.16982647733313e+002,-8.98444411658764e+001
1.04712854805090e+000,1.16782489625560e+002,-8.98400168857276e+001
1.07151930523761e+000,1.16582329605609e+002,-8.98354605247865e+001
1.09647819614318e+000,1.16382167816046e+002,-8.98307688030465e+001
1.12201845430196e+000,1.16182004407000e+002,-8.98259384258628e+001
1.14815362149688e+000,1.15981839535725e+002,-8.98209660864113e+001
1.17489755493953e+000,1.15781673366116e+002,-8.98158484679061e+001
1.20226443461741e+000,1.15581506068186e+002,-8.98105822455222e+001
1.23026877081238e+000,1.15381337817483e+002,-8.98051640880004e+001
1.25892541179417e+000,1.15181168794476e+002,-8.97995906588913e+001
1.28824955169313e+000,1.14980999183888e+002,-8.97938586174090e+001
1.31825673855641e+000,1.14780829174008e+002,-8.97879646188578e+001
1.34896288259165e+000,1.14580658955971e+002,-8.97819053146274e+001
1.38038426460288e+000,1.14380488723015e+002,-8.97756773517095e+001
1.41253754462275e+000,1.14180318669725e+002,-8.97692773717425e+001
1.44543977074593e+000,1.13980148991273e+002,-8.97627020095641e+001
1.47910838816821e+000,1.13779979882652e+002,-8.97559478912711e+001
1.51356124843621e+000,1.13579811537922e+002,-8.97490116317825e+001
1.54881661891248e+000,1.13379644149465e+002,-8.97418898319146e+001
1.58489319246111e+000,1.13179477907268e+002,-8.97345790749909e+001
1.62181009735893e+000,1.12979312998221e+002,-8.97270759229740e+001
1.65958690743756e+000,1.12779149605464e+002,-8.97193769121771e+001
1.69824365246174e+000,1.12578987907758e+002,-8.97114785485502e+001
1.73780082874937e+000,1.12378828078910e+002,-8.97033773025931e+001
1.77827941003892e+000,1.12178670287240e+002,-8.96950696039066e+001
1.81970085860998e+000,1.11978514695109e+002,-8.96865518354368e+001
1.86208713666287e+000,1.11778361458492e+002,-8.96778203274352e+001
1.90546071796325e+000,1.11578210726613e+002,-8.96688713511783e+001
1.94984459975804e+000,1.11378062641646e+002,-8.96597011124894e+001
1.99526231496888e+000,1.11177917338466e+002,-8.96503057450960e+001
2.04173794466953e+000,1.10977774944465e+002,-8.96406813038634e+001
2.08929613085404e+000,1.10777635579433e+002,-8.96308237579430e+001
2.13796208950223e+000,1.10577499355489e+002,-8.96207289838724e+001
2.18776162394955e+000,1.10377366377082e+002,-8.96103927586613e+001
2.23872113856834e+000,1.10177236741030e+002,-8.95998107528901e+001
2.29086765276777e+000,1.09977110536634e+002,-8.95889785238584e+001
2.34422881531992e+000,1.09776987845822e+002,-8.95778915088037e+001
2.39883291901949e+000,1.09576868743350e+002,-8.95665450182138e+001
2.45470891568503e+000,1.09376753297048e+002,-8.95549342292553e+001
2.51188643150958e+000,1.09176641568098e+002,-8.95430541793331e+001
2.57039578276886e+000,1.08976533611351e+002,-8.95308997597919e+001
2.63026799189538e+000,1.08776429475681e+002,-8.95184657097719e+001
2.69153480392691e+000,1.08576329204356e+002,-8.95057466102263e+001
2.75422870333816e+000,1.08376232835443e+002,-8.94927368781001e+001
2.81838293126445e+000,1.08176140402229e+002,-8.94794307606788e+001
2.88403150312660e+000,1.07976051933659e+002,-8.94658223300882e+001
2.95120922666638e+000,1.07775967454786e+002,-8.94519054779680e+001
3.01995172040201e+000,1.07575886987234e+002,-8.94376739102862e+001
3.09029543251359e+000,1.07375810549668e+002,-8.94231211423028e+001
3.16227766016837e+000,1.07175738158265e+002,-8.94082404936665e+001
3.23593656929628e+000,1.06975669827192e+002,-8.93930250836317e+001
3.31131121482591e+000,1.06775605569079e+002,-8.93774678263957e+001
3.38844156139202e+000,1.06575545395494e+002,-8.93615614265167e+001
3.46736850452531e+000,1.06375489317411e+002,-8.93452983744353e+001
3.54813389233575e+000,1.06175437345679e+002,-8.93286709420462e+001
3.63078054770101e+000,1.05975389491473e+002,-8.93116711783347e+001
3.71535229097172e+000,1.05775345766753e+002,-8.92942909050548e+001
3.80189396320560e+000,1.05575306184704e+002,-8.92765217124245e+001
3.89045144994280e+000,1.05375270760171e+002,-8.92583549548297e+001
3.98107170553496e+000,1.05175239510089e+002,-8.92397817465357e+001
4.07380277804112e+000,1.04975212453901e+002,-8.92207929573677e+001
4.16869383470335e+000,1.04775189613970e+002,-8.92013792083636e+001
4.26579518801592e+000,1.04575171015979e+002,-8.91815308673826e+001
4.36515832240165e+000,1.04375156689332e+002,-8.91612380446521e+001
4.46683592150962e+000,1.04175146667539e+002,-8.91404905882512e+001
4.57088189614874e+000,1.03975140988600e+002,-8.91192780795053e+001
4.67735141287197e+000,1.03775139695383e+002,-8.90975898282934e+001
4.78630092322637e+000,1.03575142835999e+002,-8.90754148682473e+001
4.89778819368445e+000,1.03375150464169e+002,-8.90527419518534e+001
5.01187233627271e+000,1.03175162639592e+002,-8.90295595454105e+001
5.12861383991364e+000,1.02975179428312e+002,-8.90058558238797e+001
5.24807460249771e+000,1.02775200903085e+002,-8.89816186655886e+001
5.37031796370252e+000,1.02575227143746e+002,-8.89568356467896e+001
5.49540873857623e+000,1.02375258237575e+002,-8.89314940360696e+001
5.62341325190348e+000,1.02175294279674e+002,-8.89055807886023e+001
5.75439937337156e+000,1.01975335373342e+002,-8.88790825402382e+001
5.88843655355588e+000,1.01775381630460e+002,-8.88519856014293e+001
6.02559586074356e+000,1.01575433171883e+002,-8.88242759509714e+001
6.16595001861481e+000,1.01375490127835e+002,-8.87959392295753e+001
6.30957344480192e+000,1.01175552638327e+002,-8.87669607332580e+001
6.45654229034654e+000,1.00975620853570e+002,-8.87373254065433e+001
